安全中心 com.miui.securitycenter
计算器 com.miui.calculator
相册,图库 com.miui.gallery
小米音乐,音乐,音乐播放器 com.miui.player
浏览器,系统浏览器 com.android.browser
小米视频,视频,视频播放器 com.miui.video
日历 com.android.calendar
阅读,读书,电子书 com.duokan.reader
录音机 com.android.soundrecorder
短信 com.android.mms
通讯录,联系人 com.android.contacts
应用商店,应用市场 com.xiaomi.market
电子邮件,邮件 com.android.email
相机,照相机 com.android.camera
文件管理 com.android.fileexplorer
游戏中心 com.xiaomi.gamecenter
知乎 com.zhihu.android
夸克浏览器,夸克 com.quark.browser
百度地图 com.baidu.BaiduMap
微博,新浪微博 com.sina.weibo
网易云音乐,云音乐 com.netease.cloudmusic
谷歌play商店 com.android.vending
印象笔记 com.evernote
支付宝,支付宝钱包 com.eg.android.AlipayGphone
微信,wechat com.tencent.mm
虎牙直播,虎牙 com.duowan.kiwi
腾讯qq,qq,扣扣 com.tencent.mobileqq
百度网盘 com.baidu.netdisk
wpsoffice,wps cn.wps.moffice_eng
铁路12306,12306 com.MobileTicket
美团 com.sankuai.meituan
讯飞输入法 com.iflytek.inputmethod
网易有道词典,有道词典 com.youdao.dict
wifi万能钥匙,万能钥匙 com.snda.wifilocating
uc浏览器,uc,优视,优视浏览器 com.UCMobile.intl
嘀嘀出行,嘀嘀,嘀嘀打车 com.sdu.didi.psnger
饿了么,饿了么外卖 me.ele
哔哩哔哩,bilibili tv.danmaku.bili
高德地图 com.autonavi.minimap
美团外卖 com.sankuai.meituan.takeoutnew
菜鸟裹裹 com.cainiao.wireless
tim,team com.tencent.tim
qq输入法 com.tencent.qqpinyin
手机百度,百度 com.baidu.searchbox
百度贴吧 com.baidu.tiebacls3
手机淘宝,淘宝 com.taobao.taobao
携程,携程旅行 ctrip.android.view
京东 com.jingdong.app.mall
奇艺,爱奇艺 com.qiyi.video
58同城 com.wuba
美拍 com.meitu.meipaimv
百度浏览器 com.baidu.browser.apps
掌阅 com.chaozh.iReaderFree
腾讯新闻 com.tencent.news
qq浏览器 com.tencent.mtt
快手 com.smile.gifmaker
酷狗音乐,酷狗 com.kugou.android
芒果tv com.hunantv.imgo.activity
天天快报 com.tencent.reading
作业帮 com.baidu.homework
全民k歌 com.tencent.karaoke
陌陌,momo com.immomo.momo
乐视视频,乐视,乐视tv com.letv.android.client
pps,pps影音 tv.pps.mobile
优酷,优酷视频 com.youku.phone
暴风影音 com.storm.smart
美颜相机 com.meitu.meiyancamera
qq音乐 com.tencent.qqmusic
酷我音乐 cn.kuwo.player
腾讯手机管家 com.tencent.qqpimsecure
墨迹天气 com.moji.mjweather
qq空间 com.qzone
美图秀秀 com.mt.mtxx.mtxx
网易新闻 com.netease.newsreader.activity
唯品会 com.achievo.vipshop
搜狐新闻 com.sohu.newsclient
天猫 com.tmall.wireless
百度音乐 com.ting.mp3.android
喜马拉雅fm,喜马拉雅 com.ximalaya.ting.android
迅雷, 手机迅雷 com.xunlei.downloadprovider
qq邮箱 com.tencent.androidqqmail
豆瓣 com.douban.frodo
探探 com.p1.mobile.putong
火山小视频 com.urbvd.sxdepo
西瓜视频 huobaoxigua.xiaoshipin.shipdabaofafl
抖音短视频,抖音 com.ss.android.ugc.aweme
大众点评 com.dianping.v1
闲鱼 com.taobao.idlefish
今日头条 com.ss.android.article.news
139邮箱 cn.cj.pe
网易邮箱大师,网易邮箱 com.netease.mail
拼多多 com.xunmeng.pinduoduo
百度文库 com.baidu.wenku
苏宁易购 com.suning.mobile.ebuy
内涵段子 com.ss.android.essay.joke
yy com.duowan.mobile
搜狐视频 com.sohu.sohuvideo 
每日优鲜 cn.missfresh.application
当当 com.dangdang.buy2
艺龙旅行 com.dp.android.elong
百度外卖 com.baidu.lbs.waimai
快看漫画 com.kuaikan.comic
斗鱼直播 air.tv.douyu.android
谷歌原生电子市场GooglePlay商店,GooglePlay,谷歌play com.android.vending
